Series ID,Year,Period,Label,Value
APU0000703112,2019,M01,2019 Jan,3.801
APU0000703112,2019,M02,2019 Feb,3.758
APU0000703112,2019,M03,2019 Mar,3.725
APU0000703112,2019,M04,2019 Apr,3.775
APU0000703112,2019,M05,2019 May,3.822
APU0000703112,2019,M06,2019 Jun,3.812
APU0000703112,2019,M07,2019 Jul,3.800
APU0000703112,2019,M08,2019 Aug,3.819
APU0000703112,2019,M09,2019 Sep,3.851
APU0000703112,2019,M10,2019 Oct,3.841
APU0000703112,2019,M11,2019 Nov,3.812
APU0000703112,2019,M12,2019 Dec,3.862
APU0000703112,2020,M01,2020 Jan,3.886
APU0000703112,2020,M02,2020 Feb,3.865
APU0000703112,2020,M03,2020 Mar,3.881
APU0000703112,2020,M04,2020 Apr,4.052
APU0000703112,2020,M05,2020 May,4.461
APU0000703112,2020,M06,2020 Jun,4.737
APU0000703112,2020,M07,2020 Jul,4.264
APU0000703112,2020,M08,2020 Aug,4.177
APU0000703112,2020,M09,2020 Sep,4.076
APU0000703112,2020,M10,2020 Oct,4.008
APU0000703112,2020,M11,2020 Nov,4.027
APU0000703112,2020,M12,2020 Dec,3.951
APU0000703112,2021,M01,2021 Jan,3.965
APU0000703112,2021,M02,2021 Feb,3.987
APU0000703112,2021,M03,2021 Mar,4.042
APU0000703112,2021,M04,2021 Apr,4.096
APU0000703112,2021,M05,2021 May,4.101
APU0000703112,2021,M06,2021 Jun,4.357
APU0000703112,2021,M07,2021 Jul,4.388
APU0000703112,2021,M08,2021 Aug,4.468
APU0000703112,2021,M09,2021 Sep,4.504
APU0000703112,2021,M10,2021 Oct,4.719
APU0000703112,2021,M11,2021 Nov,4.716
APU0000703112,2021,M12,2021 Dec,4.604
APU0000703112,2022,M01,2022 Jan,4.554
APU0000703112,2022,M02,2022 Feb,4.630
APU0000708111,2019,M01,2019 Jan,1.554
APU0000708111,2019,M02,2019 Feb,1.557
APU0000708111,2019,M03,2019 Mar,1.544
APU0000708111,2019,M04,2019 Apr,1.463
APU0000708111,2019,M05,2019 May,1.362
APU0000708111,2019,M06,2019 Jun,1.203
APU0000708111,2019,M07,2019 Jul,1.243
APU0000708111,2019,M08,2019 Aug,1.219
APU0000708111,2019,M09,2019 Sep,1.383
APU0000708111,2019,M10,2019 Oct,1.282
APU0000708111,2019,M11,2019 Nov,1.405
APU0000708111,2019,M12,2019 Dec,1.535
APU0000708111,2020,M01,2020 Jan,1.461
APU0000708111,2020,M02,2020 Feb,1.449
APU0000708111,2020,M03,2020 Mar,1.525
APU0000708111,2020,M04,2020 Apr,2.019
APU0000708111,2020,M05,2020 May,1.640
APU0000708111,2020,M06,2020 Jun,1.554
APU0000708111,2020,M07,2020 Jul,1.401
APU0000708111,2020,M08,2020 Aug,1.328
APU0000708111,2020,M09,2020 Sep,1.353
APU0000708111,2020,M10,2020 Oct,1.408
APU0000708111,2020,M11,2020 Nov,1.450
APU0000708111,2020,M12,2020 Dec,1.481
APU0000708111,2021,M01,2021 Jan,1.466
APU0000708111,2021,M02,2021 Feb,1.597
APU0000708111,2021,M03,2021 Mar,1.625
APU0000708111,2021,M04,2021 Apr,1.620
APU0000708111,2021,M05,2021 May,1.625
APU0000708111,2021,M06,2021 Jun,1.642
APU0000708111,2021,M07,2021 Jul,1.642
APU0000708111,2021,M08,2021 Aug,1.709
APU0000708111,2021,M09,2021 Sep,1.835
APU0000708111,2021,M10,2021 Oct,1.821
APU0000708111,2021,M11,2021 Nov,1.718
APU0000708111,2021,M12,2021 Dec,1.788
APU0000708111,2022,M01,2022 Jan,1.929
APU0000708111,2022,M02,2022 Feb,2.005
APU0000709112,2019,M01,2019 Jan,2.913
APU0000709112,2019,M02,2019 Feb,2.900
APU0000709112,2019,M03,2019 Mar,2.944
APU0000709112,2019,M04,2019 Apr,2.980
APU0000709112,2019,M05,2019 May,2.963
APU0000709112,2019,M06,2019 Jun,3.054
APU0000709112,2019,M07,2019 Jul,3.031
APU0000709112,2019,M08,2019 Aug,3.045
APU0000709112,2019,M09,2019 Sep,3.102
APU0000709112,2019,M10,2019 Oct,3.119
APU0000709112,2019,M11,2019 Nov,3.189
APU0000709112,2019,M12,2019 Dec,3.188
APU0000709112,2020,M01,2020 Jan,3.253
APU0000709112,2020,M02,2020 Feb,3.196
APU0000709112,2020,M03,2020 Mar,3.248
APU0000709112,2020,M04,2020 Apr,3.267
APU0000709112,2020,M05,2020 May,3.210
APU0000709112,2020,M06,2020 Jun,3.198
APU0000709112,2020,M07,2020 Jul,3.255
APU0000709112,2020,M08,2020 Aug,3.406
APU0000709112,2020,M09,2020 Sep,3.448
APU0000709112,2020,M10,2020 Oct,3.380
APU0000709112,2020,M11,2020 Nov,3.425
APU0000709112,2020,M12,2020 Dec,3.535
APU0000709112,2021,M01,2021 Jan,3.468
APU0000709112,2021,M02,2021 Feb,3.368
APU0000709112,2021,M03,2021 Mar,3.348
APU0000709112,2021,M04,2021 Apr,3.447
APU0000709112,2021,M05,2021 May,3.497
APU0000709112,2021,M06,2021 Jun,3.557
APU0000709112,2021,M07,2021 Jul,3.627
APU0000709112,2021,M08,2021 Aug,3.560
APU0000709112,2021,M09,2021 Sep,3.585
APU0000709112,2021,M10,2021 Oct,3.663
APU0000709112,2021,M11,2021 Nov,3.671
APU0000709112,2021,M12,2021 Dec,3.743
APU0000709112,2022,M01,2022 Jan,3.787
APU0000709112,2022,M02,2022 Feb,3.875
APU000072610,2019,M01,2019 Jan,0.135
APU000072610,2019,M02,2019 Feb,0.136
APU000072610,2019,M03,2019 Mar,0.135
APU000072610,2019,M04,2019 Apr,0.135
APU000072610,2019,M05,2019 May,0.136
APU000072610,2019,M06,2019 Jun,0.139
APU000072610,2019,M07,2019 Jul,0.140
APU000072610,2019,M08,2019 Aug,0.139
APU000072610,2019,M09,2019 Sep,0.139
APU000072610,2019,M10,2019 Oct,0.136
APU000072610,2019,M11,2019 Nov,0.133
APU000072610,2019,M12,2019 Dec,0.133
APU000072610,2020,M01,2020 Jan,0.134
APU000072610,2020,M02,2020 Feb,0.134
APU000072610,2020,M03,2020 Mar,0.134
APU000072610,2020,M04,2020 Apr,0.133
